Executor Agent V2 iniciado (Parametrizado)...
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: REFINAR V2: Otimização de parâmetros da Lagrangiana | Score: 0.4
V2 executou: REFINAR V2: Otimização de parâmetros da Lagrangiana | Score: 0.4
V2 executou: V2 SEM AÇÃO | Score: 0.4
V2 executou: V2 SEM AÇÃO | Score: 0.4
V2 executou: REFINAR V2: Otimização de parâmetros da Lagrangiana | Score: 0.4
V2 executou: REFINAR V2: Otimização de parâmetros da Lagrangiana | Score: 0.4
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
V2 executou: PROCESSADO DIFERENTE: curto | Score: 0.9
